nom;code_sco;code_filiere;code_dept;code_formation;prefix
BATIMENTS ET TRAVAUX PUBLICS;BTP;BTP;GCI;FI;BT
CHIMIE INDUSTRIELLE;CHI;CHI;GCH;FI;CI
COMMUNICATION ADMINISTRATIVE;CAD;CAD;TAD;FI;CA
COMPTABILITE ET FINANCE;CF;CFI;STEG;FI;CF
CONSEILLER D'ORIENTATION;CO;COR;SED;FI;CO
CONSTRUCTION MECANIQUE;CM;COM;GME;FI;CM
ECONOMIE;ECO;ECO;STEG;FI;EC
ELECTRONIQUE;EN;END;GEL;FI;EN
ELECTROTECHNIQUE;ET;ETD;GEL;FI;ET
ESTHETIQUE COIFFURE ET COSMETIQUE;ESCOCO;ECC;ESF;FI;CC
EXPLOITATION FORESTIERE;EF;EFO;GFO;FI;EF
FABRICATION MECANIQUE;FM;FAM;GME;FI;FM
GENIE DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION;TIC;GTIC;GINFO;FI;TI
GEOMETRE TOPOGRAPHE;GT;GTO;GCI;FI;GT
INDUSTRIE DU BOIS;IB;IBO;GFO;FI;IB
INDUSTRIE TEXTILE D'HABILLEMENT;ITH;ITH;ITH;FI;IH
INFORMATIQUE INDUSTRIELLE;II;G2I;GINFO;FI;II
INGENIERIE MATHEMATIQUE;IMA;IMA;ESB;FI;IM
INSTALLATION SANITAIRE;IS;ISA;GCI;FI;IS
MANAGEMENT DE L'INFORMATION ET DES ORGANISATIONS;MIO;MIO;TAD;FI;MI
MANAGEMENT DE L'INFORMATION ET DES ORGANISATIONS;MIO;MID;TAD;FI;MI
MARKETING;MKG;MKT;STEG;FI;MK
MECANIQUE AUTOMOBILE;MA;MAU;GME;FI;MA
METIER DU BOIS (MENUISERIE-EBENISTERIE);MEB;MEB;GFO;FI;MB
NUTRITION HUMAINE ET DIETETIQUE;NHD;NHD;ESF;FI;NH
PUERICULTURE GERONTOLOGIE ET AUXILIAIRES DE VIE;PGAV;PGA;ESF;FI;PG
SCIENCES ET TECHNOLOGIES DU BOIS;STB;SMB;GFO;FI;SB
THERMIQUE ENERGETIQUE;TE;TER;GEL;FI;TE
