nom;code_niveau;code_sco;code_filiere;code_dept
CHIMIE INDUSTRIELLE;N1;;CHI;GCH
CHIMIE INDUSTRIELLE;N3;;CHI;GCH
CHIMIE INDUSTRIELLE;N4;;CHI;GCH
ELECTRONIQUE-ELECTROTECHNIQUE;N1;;ABC;GEL
ELECTRONIQUE;N3;;END;GEL
ELECTROTECHNIQUE;N3;;ETD;GEL
THERMIQUE ENERGETIQUE;N1;;TER;GEL
THERMIQUE ENERGETIQUE;N3;;TER;GEL
ELECTRONIQUE;N4;;END;GEL
ELECTROTECHNIQUE;N4;;ETD;GEL
THERMIQUE ENERGETIQUE;N4;;TER;GEL
ESTHETIQUE COIFFURE ET COSMETIQUE;N1;;ECC;ESF
ESTHETIQUE COIFFURE ET COSMETIQUE;N3;;ECC;ESF
NUTRITION HUMAINE ET DIETETIQUE;N1;;NHD;ESF
NUTRITION HUMAINE ET DIETETIQUE;N3;;NHD;ESF
PUERICULTURE GERONTOLOGIE ET AUXILIAIRES DE VIE;N1;;PGA;ESF
PUERICULTURE GERONTOLOGIE ET AUXILIAIRES DE VIE;N3;;PGA;ESF
ESTHETIQUE COIFFURE ET COSMETIQUE;N4;;ECC;ESF
NUTRITION HUMAINE ET DIETETIQUE;N4;;NHD;ESF
PUERICULTURE GERONTOLOGIE ET AUXILIAIRES DE VIE;N4;;PGA;ESF
BATIMENTS ET TRAVAUX PUBLICS;N1;;BTP;GCI
BATIMENTS ET TRAVAUX PUBLICS;N3;;BTP;GCI
GEOMETRE TOPOGRAPHE;N1;;GTO;GCI
GEOMETRE TOPOGRAPHE;N3;;GTO;GCI
INSTALLATION SANITAIRE;N1;;ISA;GCI
INSTALLATION SANITAIRE;N3;;ISA;GCI
BATIMENTS ET TRAVAUX PUBLICS;N4;;BTP;GCI
GEOMETRE TOPOGRAPHE;N4;;GTO;GCI
INSTALLATION SANITAIRE;N4;;ISA;GCI
EXPLOITATION FORESTIERE;N1;;EFO;GFO
EXPLOITATION FORESTIERE;N3;;EFO;GFO
INDUSTRIE DU BOIS;N1;;IBO;GFO
INDUSTRIE DU BOIS;N3;;IBO;GFO
METIER DU BOIS (MENUISERIE-EBENISTERIE);N1;;MEB;GFO
METIER DU BOIS (MENUISERIE-EBENISTERIE);N3;;MEB;GFO
EXPLOITATION FORESTIERE;N4;;EFO;GFO
INDUSTRIE DU BOIS;N4;;IBO;GFO
SCIENCES ET TECHNOLOGIES DU BOIS;N4;;SMB;GFO
INFORMATIQUE INDUSTRIELLE;N1;;GI;GINFO
INFORMATIQUE INDUSTRIELLE;N3;;GI;GINFO
GENIE DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION;N1;;GTIC;GINFO
GENIE DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION;N3;;GTIC;GINFO
INFORMATIQUE INDUSTRIELLE;N4;;GI;GINFO
GENIE DES TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION;N4;;GTIC;GINFO
CONSTRUCTION MECANIQUE;N1;;COM;GME
CONSTRUCTION MECANIQUE;N3;;COM;GME
FABRICATION MECANIQUE;N1;;FAM;GME
FABRICATION MECANIQUE;N3;;FAM;GME
MECANIQUE AUTOMOBILE;N1;;MAU;GME
MECANIQUE AUTOMOBILE;N3;;MAU;GME
CONSTRUCTION MECANIQUE;N4;;COM;GME
FABRICATION MECANIQUE;N4;;FAM;GME
MECANIQUE AUTOMOBILE;N4;;MAU;GME
INDUSTRIE TEXTILE D'HABILLEMENT;N1;;ITH;ITH
INDUSTRIE TEXTILE D'HABILLEMENT;N3;;ITH;ITH
INDUSTRIE TEXTILE D'HABILLEMENT;N4;;ITH;ITH
INGENIERIE MATHEMATIQUE;N4;;IMA;ESB
CONSEILLER D'ORIENTATION;N4;;COR;SED
COMPTABILITE ET FINANCE;N1;;CFI;STEG
COMPTABILITE ET FINANCE;N3;;CFI;STEG
ECONOMIE;N1;;ECO;STEG
ECONOMIE;N3;;ECO;STEG
MARKETING;N1;;MKT;STEG
MARKETING;N3;;MKT;STEG
COMPTABILITE ET FINANCE;N4;;CFI;STEG
ECONOMIE;N4;;ECO;STEG
MARKETING;N4;;MKT;STEG
MANAGEMENT DE L'INFORMATION ET DES ORGANISATIONS;N1;;MIO;TAD
MANAGEMENT DE L'INFORMATION ET DES ORGANISATIONS;N3;;MIO;TAD
COMMUNICATION ADMINISTRATIVE;N4;;CAD;TAD
MANAGEMENT DE L'INFORMATION ET DES ORGANISATIONS (DIPET 1);N4;;MID;TAD
