code;departement;numero;region
DIAMARE;DIAMARE;dep24;AD
MBAM_ET_KIM;MBAM ET KIM;dep8;CE
DJA_ET_LOBO;DJA ET LOBO;dep49;SU
MOMO;MOMO;dep39;
KOUPE_MANENGOUBA;KOUPE MANENGOUBA;dep54;
NKAM;NKAM;dep2;LT
FARO;FARO;dep31;
DJEREM;DJEREM;dep15;
MAYO_KANI;MAYO KANI;dep27;
LOGONE_ET_CHARI;LOGONE ET CHARI;dep25;
NDE;NDE;dep47;OU
HAUT_NYONG;HAUT NYONG;dep21;
MBAM;MBAM;dep60;CE
BUI;BUI;dep35;
MEFOU_ET_AFAMA;MEFOU ET AFAMA;dep9;CE
MEFOU_ET_AKONO;MEFOU ET AKONO;dep10;CE
BOYO;BOYO;dep34;
NYONG_ET_SOO;NYONG ET SOO;dep14;CE
WOURI;WOURI;dep1;LT
SANAGA_MARITIME;SANAGA MARITIME;dep4;LT
BENOUE;BENOUE;dep59;AD
NOUN;NOUN;dep48;OU
AUTRES;AUTRES;x   ;PB
MAYO_DANAY;MAYO DANAY;dep26;
MEME;MEME;dep57;
KOUNG_KHI;KOUNG KHI;dep44;OU
MBAM_ET_INOUBOU;MBAM ET INOUBOU;dep7;
NDIAN;NDIAN;dep58;
HAUTS_PlATEAUX;HAUTS PLATEAUX;dep43;
LOM_ET_DJEREM;LOM ET DJEREM;dep23;
VINA;VINA;dep19;
MAYO_BANYO;MAYO BANYO;dep17;
NGO_KETUNJIA;NGO KETUNJIA;dep40;
BOUMBA_ET_NGOKO;BOUMBA ET NGOKO;dep20;
MAYO_TSANAGA;MAYO TSANAGA;dep29;
OCEAN;OCEAN;dep51;SU
MAYO_SAVA;MAYO SAVA;dep28;
MVILA;MVILA;dep50;
HAUT_NKAM;HAUT NKAM;dep42;LT
MENOUA;MENOUA;dep45;OU
BAMBOUTOS;BAMBOUTOS;dep41;OU
LEKIE;LEKIE;dep6;CE
MBERE;MBERE;dep18;
MFOUNDI;MFOUNDI;dep11;CE
HAUTE_SANAGA;HAUTE SANAGA;dep5;
MIFI;MIFI;dep46;OU
NYONG_ET_MFOUMOU;NYONG ET MFOUMOU;dep13;
LEBIALEM;LEBIALEM;dep55;
MEZAM;MEZAM;dep38;
MENCHUM;MENCHUM;dep37;
FARO_ET_DEO;FARO ET DEO;dep16;
MOUNGO;MOUNGO;dep3;LT
MAYO_REY;MAYO REY;dep33;
KADEY;KADEY;dep22;
BENOUE;BENOUE;dep30;
NYONG_ET_KELLE;NYONG ET KELLE;dep12;
MANYU;MANYU;dep56;
DONGA_MANTUNG;DONGA MANTUNG;dep36;
FAKO;FAKO;dep53;
VALLEE_DU_NTEM;VALLEE DU NTEM;dep52;
MAYO_LOUTI;MAYO LOUTI;dep32;
